ReportNo	SubReportName	StoredProcName	DatasetUserName	Description
102	Pkg_Avrop_SpecNote	dbo.vis_AVROP_PkgSpec_Note_FR	DS_AVROP_PKGSPEC	
102	PkgSpecNote	dbo.vida_PkgSpec_Note_FR	DS_PKGSPEC	
104	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
104	PkgSpecNote	dbo.vida_PkgSpec_Note_FR	DS_PKGSPEC	
105	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
105	PkgSpecNote	dbo.vida_PkgSpec_Note_FR	DS_PKGSPEC	
582	ShipTo	dbo.vis_ShipTo_FR	DS_ShipTo	
288	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
288	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
655	FSNOTE	dbo.vida_FS_Note_FR	DS_FSNOTE	
43	FS_AvropNote	dbo.vis_AVROP_FS_Note_FR	DS_FS_AvropNote	
43	FSNOTE	dbo.vida_FS_Note_FR	DS_VIDA_FS_NOTE	
55	FS_Avrop_NOTE_INT	dbo.vis_AVROP_LO_Note_INT_FR	DS_FS_Avrop_NOTE_INT	
55	FSNOTEINT	dbo.vida_FS_Note_INT_FR	DS_FSNOTEINT	
55	FSNOTE	dbo.vida_FS_Note_FR	DS_FSNOTE	
578	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
578	vis_AVROP_ALO_Note	dbo.vis_AVROP_ALO_Note_FR	DS_VIS_ALO	
578	LONOTEINT4	dbo.vida_LO_Note_INT_FR	DS_VIDA_LONOTE_INT	
578	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
308	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
308	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
17	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
17	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
15	CertWood	dbo.vis_contract_CertText_FR	DS_CertText	
15	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
16	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
16	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
48	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
61	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
75	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
74	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
19	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
18	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
309	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
309	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
65	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_AVROP_LO	
