ReportNo	DocType	ReportName	Description	StoredProcName	DatasetUserName
506	103	LASTORDER_NOTE_ver3_ENG.fr3	Lastorder försäljning	dbo.vis_LO_v3_FR	DS_MAIN
507	103	LASTORDER_NOTE_STATUS_ver3_ENG.fr3		dbo.vis_LO_STATUS_v3_FR	DS_MAIN
508	567	SPECIFICATION_ver3_ENG.fr3		dbo.vida_PopulateSpecTable_II_FR	DS_MAIN
509	631	INCONTRACTProdInstru_NOTE_ver2_ENG.fr3	Inköpskontrakt Engelsk - med instruktioner	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
510	106	TRP_ORDER_NOTE_ENG.fr3	Transportorder/Orderbekräftelse	dbo.vida_TRP_ORDER_FR	DS_MAIN
512	106	TRP_ORDER_NOTE_STATUS_ENG.fr3		dbo.vida_TRP_ORDER_STATUS_FR	DS_MAIN
526	101	Lev_Kontrakt_ENG.fr3		dbo.Vida_ShipPerOrd_FR	DS_MAIN
527	518	COPYFAKTURA_NOTE.fr3		dbo.vida_INVOICE	DS_MAIN
528	3	LASTORDER_VERK_NOTE_STATUS_ver3_SV.fr3	Lastorder	dbo.vis_LO_VERK_STATUS_v3_FR	DS_MAIN
529	103	LASTORDER_VERK_NOTE_ver3_ENG.fr3	Lastorder	dbo.vis_LO_VERK_v3_FR	DS_MAIN
530	103	LASTORDER_VERK_NOTE_STATUS_ver3_ENG.fr3	Lastorder	dbo.vis_LO_VERK_STATUS_v3_FR	DS_MAIN
536	2	INVOICE.fr3	Faktura	dbo.vis_INVOICE	DS_MAIN
550	501	Attest.fr3		dbo.Vida_Attest	DS_MAIN
552	502	AttestRun.fr3		dbo.VIS_Attest_Run	DS_MAIN
553	505	AVR_SPEC_TALLY_INTERNAL_VER2.fr3		dbo.vida_PopTally_IntTable_II	DS_MAIN
554	506	AVR_SPEC_TALLY_VER2		dbo.vida_PopTally_II	DS_MAIN
556	507	AVRAKNING_2		dbo.vida_Avrakning2	DS_MAIN
557	508	AVRAKNING_ver_II		dbo.vida_Avrakning_ver_II	DS_MAIN
562	509	CMR.fr3		dbo.vis_CMR	DS_MAIN
563	597	CONTRACTProdInstru_NOTE_ver2_SV.fr3	Kontrakt med instruktioner svensk version	dbo.Vida_KONTRAKT_ver2_FR	DS_MAIN
566	605	TRP_ORDER_NOTE_dk.fr3	Transportorder/Orderbekräftelse	dbo.vida_TRP_ORDER	DS_MAIN
567	580	TRP_ORDER_INKOP_NOTE_dk.fr3	Transportorder inköp LO 	dbo.vida_TRP_ORDER	DS_MAIN
570	581	trp_order_inkop_NOTE_STATUS.fr3		dbo.vida_TRP_ORDER_STATUS	DS_MAIN
571	6	TRP_ORDER_NOTE_STATUS_SV.fr3		dbo.vida_TRP_ORDER_STATUS_FR	DS_MAIN
572	623	AVROPSORDER_NOTE_ver2_SV.fr3		dbo.vida_AVROP_v2_FR	DS_MAIN
573	633	KONTRAKTProdInstru_AGENT_ver2.fr3	Inköpskontrakt Svensk - med instruktioner	dbo.vida_KONTRAKT_ver2_SR	DS_MAIN
574	597	CONTRACTProdInstru_NOTE_ver2_ENG.fr3	Kontrakt engelsk version	dbo.Vida_KONTRAKT_ver2_FR	DS_MAIN
575	1	Lev_Kontrakt_SV.fr3		dbo.Vida_ShipPerOrd_FR	DS_MAIN
578	3	LASTORDER_VERK_NOTE_ver3_SV.fr3	Lastorder	dbo.vis_LO_VERK_v3_FR	DS_MAIN
579	635	LASTORDER_VERK_NOTE_STATUS_ver3.fr3	Lastorder	dbo.vis_LO_VERK_v3	DS_MAIN
580	636	Kundetiketter_III.fr3	Kundetiketter version 3	dbo.vida_KUNDLISTA_II	DS_MAIN
581	511	FAKTURA_ENG_IDAHO_NOTE.fr3		dbo.vida_INVOICE	DS_MAIN
582	514	FAKTURA_ENG_längd_plus_NM3_NOTE.fr3		dbo.vida_INVOICE	DS_MAIN
583	516	FAKTURA_ENG_NOTE_dk.fr3		dbo.vida_INVOICE	DS_MAIN
584	517	FAKTURA_ENG_PKTTYP_NOTE.fr3		dbo.vida_INVOICE	DS_MAIN
585	518	FAKTURA_NOTE.fr3		dbo.vida_INVOICE	DS_MAIN
586	519	FAKTURA_u_moms_NOTE_dk.fr3		dbo.vida_INVOICE	DS_MAIN
